X-value	Y-value	Ground type
0.2	0.2	FS
0.2	0.25	FS
0.25	0.25	FS
0.25	0.3	FS
0.3	0.3	FS
0.3	0.35	FS
0.35	0.35	FS
0.35	0.39999999999999997	FS
0.39999999999999997	0.39999999999999997	FS
0.39999999999999997	0.44999999999999996	FS
0.44999999999999996	0.44999999999999996	FS
0.44999999999999996	0.49999999999999994	FS
0.49999999999999994	0.49999999999999994	FS
0.49999999999999994	0.5499999999999999	FS
0.5499999999999999	0.5499999999999999	FS
0.5499999999999999	0.6	FS
0.6	0.6	FS
0.6	0.65	FS
0.65	0.65	FS
0.7000000000000001	0.65	FS
0.7000000000000001	0.7000000000000001	FS
0.7000000000000001	0.7500000000000001	FS
0.7500000000000001	0.7500000000000001	FS
0.7500000000000001	0.8000000000000002	MB
0.8000000000000002	0.8000000000000002	MB
0.8000000000000002	0.8	FS
0.8	0.8	FS
0.2	0.8	MB
0.2	0.8	FS
0.2	0.8000000000000002	FS
0.25	0.8000000000000002	FS
0.25	0.7500000000000001	FS
0.3	0.7500000000000001	FS
0.3	0.7000000000000001	FS
0.35	0.7000000000000001	FS
0.35	0.65	FS
0.39999999999999997	0.65	FS
0.39999999999999997	0.6	FS
0.39999999999999997	0.5499999999999999	FS
0.44999999999999996	0.5499999999999999	FS
0.49999999999999994	0.5499999999999999	FS
0.49999999999999994	0.49999999999999994	FS
0.5499999999999999	0.49999999999999994	FS
0.5499999999999999	0.44999999999999996	FS
0.6	0.44999999999999996	FS
0.6	0.39999999999999997	FS
0.65	0.39999999999999997	FS
0.65	0.35	FS
0.7000000000000001	0.35	FS
0.7000000000000001	0.3	FS
0.7000000000000001	0.25	FS
0.7500000000000001	0.25	FS
0.7500000000000001	0.2	MB
0.8000000000000002	0.2	MB
0.8000000000000002	0.2	FS
0.8	0.2	FS
